iter	Passed	Remaining
0	610	60468
1	1085	53213
2	1485	48027
3	1818	43655
4	2170	41236
5	2567	40218
6	2921	38814
7	3264	37545
8	3614	36550
9	4030	36270
10	4449	35996
11	4838	35483
12	5171	34608
13	5591	34346
14	6000	34000
15	6375	33473
16	6708	32755
17	7244	33002
18	7610	32442
19	8024	32096
20	8500	31979
21	8875	31469
22	9276	31055
23	9668	30616
24	10043	30131
25	10508	29908
26	10829	29278
27	11154	28683
28	11534	28239
29	11839	27624
30	12156	27058
31	12480	26520
32	12759	25906
33	13189	25602
34	13524	25117
35	13814	24559
36	14097	24004
37	14467	23605
38	14807	23159
39	15119	22679
40	15421	22191
41	15744	21742
42	16165	21428
43	16494	20992
44	16896	20651
45	17271	20275
46	17662	19917
47	17924	19418
48	18226	18970
49	18529	18529
50	18865	18125
51	19240	17760
52	19649	17425
53	19962	17005
54	20269	16584
55	20640	16217
56	21016	15854
57	21288	15415
58	21598	15009
59	21905	14603
60	22307	14262
61	22620	13864
62	23016	13517
63	23293	13102
64	23637	12728
65	23958	12342
66	24284	11960
67	24632	11591
68	24915	11193
69	25336	10858
70	25701	10497
71	25991	10107
72	26338	9741
73	26721	9388
74	27036	9012
75	27301	8621
76	27583	8239
77	28023	7903
78	28392	7547
79	28644	7161
80	29027	6808
81	29438	6462
82	29843	6112
83	30208	5753
84	30478	5378
85	30792	5012
86	31104	4647
87	31515	4297
88	31788	3928
89	32087	3565
90	32356	3200
91	32652	2839
92	32961	2480
93	33239	2121
94	33549	1765
95	33864	1411
96	34183	1057
97	34540	704
98	34813	351
99	35082	0
